,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
2905,GCA_000577085.1,Staphylococcus aureus H41336,homo sapiens,nares,,,,2817,,allpaths v. R48559,SAMN02383824,H41336,,,Scaffold,5,247049,,33.0,109.0,31,4,97.8,0.45,v1.2.3,PRJNA224535,,homo sapiens | nares,human,nares,GCA_000577085.1,,,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2906,GCA_000561845.1,Staphylococcus aureus H42737,homo sapiens,nares,,,,2726,,allpaths v. R48140,SAMN02383757,H42737,,,Scaffold,4,288125,,32.5,95.0,24,23,97.99,0.39,v1.2.3,PRJNA224468,,homo sapiens | nares,human,nares,GCA_000561845.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2907,GCA_000561865.1,Staphylococcus aureus H42759,homo sapiens,nares,,,,2696,,allpaths v. R48140,SAMN02383758,H42759,,,Scaffold,4,253801,,32.5,94.0,29,27,98.48,0.39,v1.2.3,PRJNA224469,,homo sapiens | nares,human,nares,GCA_000561865.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2908,GCA_000605065.1,Staphylococcus aureus H43687,homo sapiens,nares,,,,2698,,allpaths v. R48559,SAMN02402519,H43687,,,Scaffold,5,253873,,32.5,49.0,22,21,98.57,0.39,v1.2.3,PRJNA227595,,homo sapiens | nares,human,nares,GCA_000605065.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2909,GCA_000605085.1,Staphylococcus aureus H43690,homo sapiens,nares,,,,2659,,allpaths v. R48559,SAMN02402520,H43690,,,Scaffold,7,168981,,33.0,90.0,29,25,98.75,0.45,v1.2.3,PRJNA227596,,homo sapiens | nares,human,nares,GCA_000605085.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2910,GCA_000605105.1,Staphylococcus aureus H43700,homo sapiens,nares,,,,2745,,allpaths v. R48559,SAMN02402522,H43700,,,Scaffold,6,143037,,33.0,48.0,48,46,98.23,0.65,v1.2.3,PRJNA227598,,homo sapiens | nares,human,nares,GCA_000605105.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2911,GCA_000578755.1,Staphylococcus aureus H43986,homo sapiens,,,,,2761,,allpaths v. R48559,SAMN02398793,H43986,,,Scaffold,3,592729,,32.5,52.0,14,13,97.99,0.39,v1.2.3,PRJNA226852,,homo sapiens,human,,GCA_000578755.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2912,GCA_000578775.1,Staphylococcus aureus H44015,homo sapiens,,,,,2708,,allpaths v. R48559,SAMN02398795,H44015,,,Scaffold,3,437488,,32.5,56.0,17,16,97.99,0.62,v1.2.3,PRJNA226854,,homo sapiens,human,,GCA_000578775.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2913,GCA_000577105.1,Staphylococcus aureus H44713,homo sapiens,nares,,,,2721,,allpaths v. R48517,SAMN02383829,H44713,,,Scaffold,3,328993,,33.0,140.0,17,7,98.77,0.39,v1.2.3,PRJNA224540,,homo sapiens | nares,human,nares,GCA_000577105.1,,,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2914,GCA_000562045.1,Staphylococcus aureus H45765,homo sapiens,nares,,,,2707,,allpaths v. R48140,SAMN02383769,H45765,,,Scaffold,3,243198,,32.5,91.0,31,30,97.4,1.9,v1.2.3,PRJNA224480,,homo sapiens | nares,human,nares,GCA_000562045.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2915,GCA_000578955.1,Staphylococcus aureus H47183,homo sapiens,,,,,2704,,allpaths v. R48559,SAMN02398805,H47183,,,Scaffold,8,96132,,33.0,49.0,46,43,98.75,0.58,v1.2.3,PRJNA226864,,homo sapiens,human,,GCA_000578955.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2916,GCA_000571395.1,Staphylococcus aureus H47671,homo sapiens,nares,,,,2753,,allpaths v. R48504,SAMN02385391,H47671,,,Scaffold,2,436680,,33.0,125.0,17,14,97.59,0.39,v1.2.3,PRJNA225067,,homo sapiens | nares,human,nares,GCA_000571395.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2917,GCA_000562205.1,Staphylococcus aureus H48646,homo sapiens,nares,,,,2743,,allpaths v. R48140,SAMN02383777,H48646,,,Scaffold,4,299520,,32.5,91.0,22,21,97.87,0.33,v1.2.3,PRJNA224488,,homo sapiens | nares,human,nares,GCA_000562205.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2918,GCA_000562185.1,Staphylococcus aureus H48649,homo sapiens,nares,,,,2658,,allpaths v. R48154,SAMN02383776,H48649,,,Scaffold,8,128301,,33.0,91.0,45,40,98.64,0.39,v1.2.3,PRJNA224487,,homo sapiens | nares,human,nares,GCA_000562185.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2919,GCA_000579175.1,Staphylococcus aureus H49917,homo sapiens,,,,,2667,,allpaths v. R48559,SAMN02398819,H49917,,,Scaffold,6,168644,,32.5,41.0,37,34,98.65,0.39,v1.2.3,PRJNA226878,,homo sapiens,human,,GCA_000579175.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2920,GCA_000579155.1,Staphylococcus aureus H49922,homo sapiens,,,,,2705,,allpaths v. R48559,SAMN02398818,H49922,,,Scaffold,2,436196,,32.5,51.0,18,17,97.69,0.39,v1.2.3,PRJNA226877,,homo sapiens,human,,GCA_000579155.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2921,GCA_000571375.1,Staphylococcus aureus H58165,homo sapiens,nares,,,,2773,,allpaths v. R48504,SAMN02385393,H58165,,,Scaffold,2,705069,,32.5,123.0,11,9,97.87,0.33,v1.2.3,PRJNA225069,,homo sapiens | nares,human,nares,GCA_000571375.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2922,GCA_000571355.1,Staphylococcus aureus H58183,homo sapiens,nares,,,,2764,,allpaths v. R48504,SAMN02385395,H58183,,,Scaffold,1,1666790,,32.5,124.0,10,9,97.92,0.39,v1.2.3,PRJNA225071,,homo sapiens | nares,human,nares,GCA_000571355.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2923,GCA_000560005.1,Staphylococcus aureus H60145,homo sapiens,nares,,,,2728,,allpaths v. R48140,SAMN02383654,H60145,,,Scaffold,1,1443771,,33.0,71.0,6,2,97.88,0.39,v1.2.3,PRJNA224364,,homo sapiens | nares,human,nares,GCA_000560005.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2924,GCA_000563555.1,Staphylococcus aureus H64303,homo sapiens,,,,,2787,,allpaths v. R48140,SAMN02384085,H64303,,,Scaffold,5,240223,,32.5,88.0,33,31,97.99,0.39,v1.2.3,PRJNA224620,,homo sapiens,human,,GCA_000563555.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2925,GCA_000571295.1,Staphylococcus aureus H64962,homo sapiens,nares,,,,2720,,allpaths v. R48490,SAMN02385399,H64962,,,Scaffold,4,239047,,32.5,92.0,42,39,98.57,0.39,v1.2.3,PRJNA225075,,homo sapiens | nares,human,nares,GCA_000571295.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2926,GCA_000587555.1,Staphylococcus aureus H65863,homo sapiens,,,,,2748,,allpaths v. R48559,SAMN02403143,H65863,,,Scaffold,7,152714,,32.5,48.0,46,41,98.8,0.39,v1.2.3,PRJNA227833,,homo sapiens,human,,GCA_000587555.1,,USA,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2927,GCA_000587535.1,Staphylococcus aureus H65878,homo sapiens,,,,,2755,,allpaths v. R48559,SAMN02403144,H65878,,,Scaffold,3,580157,,32.5,47.0,15,14,97.99,0.39,v1.2.3,PRJNA227834,,homo sapiens,human,,GCA_000587535.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2928,GCA_000587515.1,Staphylococcus aureus H65881,homo sapiens,,,,,2758,,allpaths v. R48559,SAMN02403145,H65881,,,Scaffold,4,258435,,32.5,48.0,26,22,98.21,0.39,v1.2.3,PRJNA227835,,homo sapiens,human,,GCA_000587515.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2929,GCA_000587495.1,Staphylococcus aureus H65882,homo sapiens,,,,,2741,,allpaths v. R48559,SAMN02403146,H65882,,,Scaffold,4,253217,,32.5,48.0,30,28,98.21,0.39,v1.2.3,PRJNA227836,,homo sapiens,human,,GCA_000587495.1,,USA,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2930,GCA_000587475.1,Staphylococcus aureus H65883,homo sapiens,,,,,2706,,allpaths v. R48559,SAMN02403147,H65883,,,Scaffold,4,317498,,32.5,49.0,25,19,98.21,0.39,v1.2.3,PRJNA227837,,homo sapiens,human,,GCA_000587475.1,,USA,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2931,GCA_000571235.1,Staphylococcus aureus H68252,homo sapiens,nares,,,,2606,,allpaths v. R48546,SAMN02385402,H68252,,,Scaffold,6,167961,,33.0,104.0,32,30,98.75,0.39,v1.2.3,PRJNA225078,,homo sapiens | nares,human,nares,GCA_000571235.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2932,GCA_000571215.1,Staphylococcus aureus H68256,homo sapiens,nares,,,,2757,,allpaths v. R48504,SAMN02385403,H68256,,,Scaffold,7,142280,,33.0,124.0,39,36,98.52,0.39,v1.2.3,PRJNA225079,,homo sapiens | nares,human,nares,GCA_000571215.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2933,GCA_000587455.1,Staphylococcus aureus H68996,homo sapiens,,,,,2829,,allpaths v. R48559,SAMN02403148,H68996,,,Scaffold,4,271603,,32.5,47.0,26,23,97.99,0.39,v1.2.3,PRJNA227838,,homo sapiens,human,,GCA_000587455.1,,USA,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2934,GCA_000563595.1,Staphylococcus aureus H70821,homo sapiens,,,,,2737,,allpaths v. R48140,SAMN02384087,H70821,,,Scaffold,2,772230,,33.0,90.0,9,2,97.99,0.39,v1.2.3,PRJNA224622,,homo sapiens,human,,GCA_000563595.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2935,GCA_000571195.1,Staphylococcus aureus H71538,homo sapiens,nares,,,,2771,,allpaths v. R48490,SAMN02385404,H71538,,,Scaffold,2,690935,,32.5,125.0,13,11,97.99,0.39,v1.2.3,PRJNA225080,,homo sapiens | nares,human,nares,GCA_000571195.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2936,GCA_000571175.1,Staphylococcus aureus H71553,homo sapiens,nares,,,,2744,,allpaths v. R48504,SAMN02385405,H71553,,,Scaffold,2,693544,,32.5,118.0,13,12,97.99,0.39,v1.2.3,PRJNA225081,,homo sapiens | nares,human,nares,GCA_000571175.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2937,GCA_000562545.1,Staphylococcus aureus H71781,homo sapiens,throat,,,,2715,,allpaths v. R48140,SAMN02383799,H71781,,,Scaffold,3,299521,,32.5,91.0,24,23,97.99,0.39,v1.2.3,PRJNA224510,,homo sapiens | throat,human,throat,GCA_000562545.1,,USA,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2938,GCA_000562525.1,Staphylococcus aureus H71785,homo sapiens,skin,,,,2728,,allpaths v. R48140,SAMN02383796,H71785,,,Scaffold,4,299520,,32.5,90.0,25,24,97.99,0.39,v1.2.3,PRJNA224507,,homo sapiens | skin,human,skin,GCA_000562525.1,,USA,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2939,GCA_000571155.1,Staphylococcus aureus H75143,homo sapiens,nares,,,,2717,,allpaths v. R48490,SAMN02385406,H75143,,,Scaffold,4,369698,,33.0,124.0,17,15,98.57,0.39,v1.2.3,PRJNA225082,,homo sapiens | nares,human,nares,GCA_000571155.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2940,GCA_000560345.1,Staphylococcus aureus H75198,homo sapiens,nares,,,,2750,,allpaths v. R48140,SAMN02383674,H75198,,,Scaffold,5,208097,,32.5,87.0,25,24,97.99,0.39,v1.2.3,PRJNA224385,,homo sapiens | nares,human,nares,GCA_000560345.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2941,GCA_000587415.1,Staphylococcus aureus H75421,homo sapiens,,,,,2821,,allpaths v. R48559,SAMN02403152,H75421,,,Scaffold,4,297183,,32.5,47.0,24,22,97.99,0.39,v1.2.3,PRJNA227842,,homo sapiens,human,,GCA_000587415.1,,USA,,Throat,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2942,GCA_000563675.1,Staphylococcus aureus H77094,homo sapiens,,,,,2834,,allpaths v. R48140,SAMN02384091,H77094,,,Scaffold,3,394679,,33.0,90.0,27,26,97.96,0.78,v1.2.3,PRJNA224626,,homo sapiens,human,,GCA_000563675.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2943,GCA_000563715.1,Staphylococcus aureus H77102,homo sapiens,,,,,2666,,allpaths v. R48140,SAMN02384093,H77102,,,Scaffold,9,109331,,33.0,88.0,45,43,97.89,0.4,v1.2.3,PRJNA224628,,homo sapiens,human,,GCA_000563715.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2944,GCA_000576925.1,Staphylococcus aureus H79484,homo sapiens,nares,,,,2750,,allpaths v. R48534,SAMN02383804,H79484,,,Scaffold,4,380552,,33.0,148.0,21,15,98.77,0.41,v1.2.3,PRJNA224515,,homo sapiens | nares,human,nares,GCA_000576925.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2945,GCA_000560505.1,Staphylococcus aureus H81437,homo sapiens,nares,,,,2732,,allpaths v. R48140,SAMN02383683,H81437,,,Scaffold,1,1729512,,33.0,68.0,4,2,97.96,0.39,v1.2.3,PRJNA224394,,homo sapiens | nares,human,nares,GCA_000560505.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2946,GCA_000605125.1,Staphylococcus aureus H81901,homo sapiens,nares,,,,2674,,allpaths v. R48559,SAMN02402525,H81901,,,Scaffold,9,96985,,33.0,88.0,38,36,98.75,0.39,v1.2.3,PRJNA227601,,homo sapiens | nares,human,nares,GCA_000605125.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2947,GCA_000560585.1,Staphylococcus aureus H84492,homo sapiens,nares,,,,2739,,allpaths v. R48140,SAMN02383687,H84492,,,Scaffold,1,2117894,,33.0,74.0,7,2,97.93,0.39,v1.2.3,PRJNA224398,,homo sapiens | nares,human,nares,GCA_000560585.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2948,GCA_000560605.1,Staphylococcus aureus H84507,homo sapiens,nares,,,,2730,,allpaths v. R48140,SAMN02383688,H84507,,,Scaffold,5,166504,,33.0,93.0,25,23,97.97,0.39,v1.2.3,PRJNA224399,,homo sapiens | nares,human,nares,GCA_000560605.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2949,GCA_000587395.1,Staphylococcus aureus H84959,homo sapiens,,,,,2740,,allpaths v. R48559,SAMN02403156,H84959,,,Scaffold,3,476617,,32.5,47.0,19,16,97.99,0.39,v1.2.3,PRJNA227846,,homo sapiens,human,,GCA_000587395.1,,USA,,Skin,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2950,GCA_000570075.1,Staphylococcus aureus H84973,homo sapiens,nares,,,,2597,,allpaths v. R48504,SAMN02385489,H84973,,,Scaffold,6,160010,,32.5,120.0,27,24,98.57,0.39,v1.2.3,PRJNA225167,,homo sapiens | nares,human,nares,GCA_000570075.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2951,GCA_000570055.1,Staphylococcus aureus H84980,homo sapiens,nares,,,,2807,,allpaths v. R48504,SAMN02385490,H84980,,,Scaffold,9,106683,,33.0,123.0,47,43,98.23,0.65,v1.2.3,PRJNA225168,,homo sapiens | nares,human,nares,GCA_000570055.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2952,GCA_000570035.1,Staphylococcus aureus H85003,homo sapiens,nares,,,,2775,,allpaths v. R48504,SAMN02385491,H85003,,,Scaffold,8,142178,,33.0,120.0,42,37,98.38,0.39,v1.2.3,PRJNA225169,,homo sapiens | nares,human,nares,GCA_000570035.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2953,GCA_000560885.1,Staphylococcus aureus H87658,homo sapiens,nares,,,,2702,,allpaths v. R48140,SAMN02383706,H87658,,,Scaffold,7,138627,,33.0,92.0,47,45,98.67,0.39,v1.2.3,PRJNA224417,,homo sapiens | nares,human,nares,GCA_000560885.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2954,GCA_000605165.1,Staphylococcus aureus H88163,homo sapiens,nares,,,,2750,,allpaths v. R48559,SAMN02402527,H88163,,,Scaffold,6,138630,,33.0,88.0,44,43,98.67,0.39,v1.2.3,PRJNA227603,,homo sapiens | nares,human,nares,GCA_000605165.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2955,GCA_000605185.1,Staphylococcus aureus H88170,homo sapiens,nares,,,,2703,,allpaths v. R48559,SAMN02402528,H88170,,,Scaffold,4,242089,,32.5,48.0,20,18,97.69,0.62,v1.2.3,PRJNA227604,,homo sapiens | nares,human,nares,GCA_000605185.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2956,GCA_000587375.1,Staphylococcus aureus H88185,homo sapiens,,,,,2719,,allpaths v. R48559,SAMN02403157,H88185,,,Scaffold,8,96654,,33.0,47.0,47,44,98.77,0.39,v1.2.3,PRJNA227847,,homo sapiens,human,,GCA_000587375.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2957,GCA_000569975.1,Staphylococcus aureus H91384,homo sapiens,nares,,,,2701,,allpaths v. R48504,SAMN02385495,H91384,,,Scaffold,4,292492,,33.0,120.0,21,20,98.44,0.39,v1.2.3,PRJNA225173,,homo sapiens | nares,human,nares,GCA_000569975.1,,USA,,Nares,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2958,GCA_000539895.1,Staphylococcus aureus HBHO6002,homo sapiens,,,,,2748,,allpaths v. R48275,SAMN02381551,HBHO6002,,,Scaffold,3,571488,,32.5,113.0,13,11,97.92,0.39,v1.2.3,PRJNA223810,,homo sapiens,human,,GCA_000539895.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2959,GCA_000572325.1,Staphylococcus aureus HBHO6021,homo sapiens,wound,,,,2866,,allpaths v. R48476,SAMN02381787,HBHO6021,,,Scaffold,2,576262,,32.5,150.0,10,8,97.99,0.41,v1.2.3,PRJNA224048,,homo sapiens | wound,human,wound,GCA_000572325.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2960,GCA_000542985.1,Staphylococcus aureus HBHO6022,homo sapiens,wound,,,,2700,,allpaths v. R48275,SAMN02381791,HBHO6022,,,Scaffold,2,595200,,32.5,112.0,10,9,97.79,0.39,v1.2.4,PRJNA224052,,homo sapiens | wound,human,wound,GCA_000542985.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2961,GCA_000543025.1,Staphylococcus aureus HBHO6024,homo sapiens,blood,,,,2824,,allpaths v. R48275,SAMN02381793,HBHO6024,,,Scaffold,4,328391,,33.0,112.0,40,36,98.62,0.58,v1.2.3,PRJNA224054,,homo sapiens | blood,human,blood,GCA_000543025.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2962,GCA_000538235.1,Staphylococcus aureus HBHO6042,homo sapiens,sputum,,,,2741,,allpaths v. R48275,SAMN02381443,HBHO6042,,,Scaffold,5,206331,,33.0,106.0,24,22,98.6,0.39,v1.2.3,PRJNA223702,,homo sapiens | sputum,human,sputum,GCA_000538235.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2963,GCA_000572905.1,Staphylococcus aureus HBHO6050,homo sapiens,,,,,2868,,allpaths v. R48476,SAMN02381573,HBHO6050,,,Scaffold,1,1525603,,32.5,167.0,9,4,97.99,0.41,v1.2.3,PRJNA223832,,homo sapiens,human,,GCA_000572905.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2964,GCA_000539375.1,Staphylococcus aureus HOAG6005,homo sapiens,,,,,2748,,allpaths v. R48275,SAMN02381521,HOAG6005,,,Scaffold,4,409167,,33.0,118.0,34,33,98.45,0.39,v1.2.4,PRJNA223780,,homo sapiens,human,,GCA_000539375.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2965,GCA_000539735.1,Staphylococcus aureus HOAG6017,homo sapiens,,,,,2831,,allpaths v. R48275,SAMN02381539,HOAG6017,,,Scaffold,2,795925,,33.0,100.0,14,13,97.92,0.39,v1.2.3,PRJNA223798,,homo sapiens,human,,GCA_000539735.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2966,GCA_000540155.1,Staphylococcus aureus HOAG6025,homo sapiens,,,,,2768,,allpaths v. R48275,SAMN02381567,HOAG6025,,,Scaffold,4,245203,,33.0,109.0,29,25,98.67,0.39,v1.2.3,PRJNA223826,,homo sapiens,human,,GCA_000540155.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2967,GCA_000572725.1,Staphylococcus aureus HOAG6043,homo sapiens,,,,,2753,,allpaths v. R48476,SAMN02381611,HOAG6043,,,Scaffold,3,394230,,33.0,183.0,34,14,98.87,0.39,v1.2.3,PRJNA223870,,homo sapiens,human,,GCA_000572725.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2968,GCA_000572705.1,Staphylococcus aureus HOAG6047,homo sapiens,,,,,2820,,allpaths v. R48476,SAMN02381612,HOAG6047,,,Scaffold,3,440743,,33.0,186.0,16,7,98.69,0.39,v1.2.3,PRJNA223871,,homo sapiens,human,,GCA_000572705.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2969,GCA_000538355.1,Staphylococcus aureus HOAG6054,homo sapiens,blood,,,,2884,,allpaths v. R48275,SAMN02381452,HOAG6054,,,Scaffold,4,305340,,33.0,74.0,31,29,98.72,0.41,v1.2.4,PRJNA223711,,homo sapiens | blood,human,blood,GCA_000538355.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2970,GCA_000538375.1,Staphylococcus aureus HOAG6057,homo sapiens,blood,,,,2830,,allpaths v. R48275,SAMN02381453,HOAG6057,,,Scaffold,4,386085,,33.0,82.0,36,34,98.48,0.58,v1.2.4,PRJNA223712,,homo sapiens | blood,human,blood,GCA_000538375.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2971,GCA_000538615.1,Staphylococcus aureus HOAG6068,homo sapiens,sputum,,,,2761,,allpaths v. R48275,SAMN02381474,HOAG6068,,,Scaffold,4,326233,,33.0,107.0,20,19,98.46,0.39,v1.2.3,PRJNA223733,,homo sapiens | sputum,human,sputum,GCA_000538615.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2972,GCA_000539255.1,Staphylococcus aureus HOAG6084,homo sapiens,blood,,,,2840,,allpaths v. R48275,SAMN02381515,HOAG6084,,,Scaffold,3,480227,,32.5,71.0,25,24,97.99,0.47,v1.2.4,PRJNA223774,,homo sapiens | blood,human,blood,GCA_000539255.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2973,GCA_000540755.1,Staphylococcus aureus HOAG6092,homo sapiens,sputum,,,,2739,,allpaths v. R48275,SAMN02381620,HOAG6092,,,Scaffold,5,260403,,33.0,121.0,18,16,98.67,0.39,v1.2.4,PRJNA223879,,homo sapiens | sputum,human,sputum,GCA_000540755.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2974,GCA_000541175.1,Staphylococcus aureus HOAG6104,homo sapiens,sputum,,,,2772,,allpaths v. R48275,SAMN02381646,HOAG6104,,,Scaffold,4,321368,,33.0,122.0,25,23,98.75,0.39,v1.2.4,PRJNA223905,,homo sapiens | sputum,human,sputum,GCA_000541175.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2975,GCA_000541515.1,Staphylococcus aureus KINB6023,homo sapiens,wound,,,,2819,,allpaths v. R48275,SAMN02381685,KINB6023,,,Scaffold,4,273170,,33.0,121.0,20,18,98.16,0.33,v1.2.4,PRJNA223945,,homo sapiens | wound,human,wound,GCA_000541515.1,Wound,USA,,Wound,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2976,GCA_000541555.1,Staphylococcus aureus KINB6024,homo sapiens,sputum,,,,2731,,allpaths v. R48275,SAMN02381688,KINB6024,,,Scaffold,1,1592427,,33.0,121.0,10,9,98.67,0.39,v1.2.3,PRJNA223949,,homo sapiens | sputum,human,sputum,GCA_000541555.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2977,GCA_000540075.1,Staphylococcus aureus KINW6001,homo sapiens,,,,,2749,,allpaths v. R48275,SAMN02381562,KINW6001,,,Scaffold,5,239554,,33.0,118.0,31,29,98.67,0.39,v1.2.4,PRJNA223821,,homo sapiens,human,,GCA_000540075.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2978,GCA_000540095.1,Staphylococcus aureus KINW6002,homo sapiens,,,,,2829,,allpaths v. R48275,SAMN02381563,KINW6002,,,Scaffold,4,334746,,33.0,111.0,28,27,98.48,0.39,v1.2.4,PRJNA223822,,homo sapiens,human,,GCA_000540095.1,Sputum,USA,,Sputum,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
2979,GCA_000540215.1,Staphylococcus aureus KINW6003,homo sapiens,,,,,2798,,allpaths v. R48275,SAMN02381575,KINW6003,,,Scaffold,2,693431,,32.5,102.0,8,6,97.99,0.41,v1.2.3,PRJNA223834,,homo sapiens,human,,GCA_000540215.1,Blood,USA,,Blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
