Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_000641315.1	Staphylococcus aureus VET0103R	Homo sapiens	missing				2727	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404017	VET0103R			Scaffold	5	215003		33	89	33	32	98.69	0.39	v1.2.3	PRJNA228524	
GCA_000641315.1	Staphylococcus aureus VET0103R	Homo sapiens	missing				2591		allpaths v. R48559	SAMN02404017	VET0103R			Scaffold	5	215003		33	89	33	32	98.69	0.39	v1.2.3	PRJNA228524	
GCF_000641335.1	Staphylococcus aureus VET0104R	Homo sapiens	missing				2746	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404018	VET0104R			Scaffold	5	185046		33	85	32	31	98.69	0.39	v1.2.3	PRJNA228525	
GCA_000641335.1	Staphylococcus aureus VET0104R	Homo sapiens	missing				2621		allpaths v. R48559	SAMN02404018	VET0104R			Scaffold	5	185046		33	85	32	31	98.69	0.39	v1.2.3	PRJNA228525	
GCF_000641355.1	Staphylococcus aureus VET0105R	Homo sapiens	missing				2885	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404019	VET0105R			Scaffold	6	138260		33	87	64	63	98.58	0.36	v1.2.3	PRJNA228526	
GCA_000641355.1	Staphylococcus aureus VET0105R	Homo sapiens	missing				2760		allpaths v. R48559	SAMN02404019	VET0105R			Scaffold	6	138260		33	87	64	63	98.58	0.36	v1.2.3	PRJNA228526	
GCF_000641375.1	Staphylococcus aureus VET0107R	Homo sapiens	missing				2811	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404020	VET0107R			Scaffold	5	204395		33	85	50	47	98.41	0.71	v1.2.3	PRJNA228528	
GCA_000641375.1	Staphylococcus aureus VET0107R	Homo sapiens	missing				2689		allpaths v. R48559	SAMN02404020	VET0107R			Scaffold	5	204395		33	85	50	47	98.41	0.71	v1.2.3	PRJNA228528	
GCF_000641395.1	Staphylococcus aureus VET0110R	Homo sapiens	missing				2771	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404021	VET0110R			Scaffold	4	137847		33	76	37	35	98.64	0.68	v1.2.3	PRJNA228529	
GCA_000641395.1	Staphylococcus aureus VET0110R	Homo sapiens	missing				2636		allpaths v. R48559	SAMN02404021	VET0110R			Scaffold	4	137847		33	76	37	35	98.64	0.68	v1.2.3	PRJNA228529	
GCF_000641415.1	Staphylococcus aureus VET0112R	Homo sapiens	missing				2750	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404023	VET0112R			Scaffold	5	135775		33	88	37	35	98.46	0.39	v1.2.3	PRJNA228531	
GCA_000641415.1	Staphylococcus aureus VET0112R	Homo sapiens	missing				2618		allpaths v. R48559	SAMN02404023	VET0112R			Scaffold	5	135775		33	88	37	35	98.46	0.39	v1.2.3	PRJNA228531	
GCF_000641435.1	Staphylococcus aureus VET0114R	Homo sapiens	missing				2880	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404025	VET0114R			Scaffold	7	137848		33	95	61	59	98.46	0.39	v1.2.3	PRJNA228533	
GCA_000641435.1	Staphylococcus aureus VET0114R	Homo sapiens	missing				2747		allpaths v. R48559	SAMN02404025	VET0114R			Scaffold	7	137848		33	95	61	59	98.46	0.39	v1.2.3	PRJNA228533	
GCF_000641455.1	Staphylococcus aureus VET0115R	Homo sapiens	missing				2836	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404026	VET0115R			Scaffold	7	134685		33	85	52	48	98.59	0.76	v1.2.3	PRJNA228534	
GCA_000641455.1	Staphylococcus aureus VET0115R	Homo sapiens	missing				2699		allpaths v. R48559	SAMN02404026	VET0115R			Scaffold	7	134685		33	85	52	48	98.59	0.76	v1.2.3	PRJNA228534	
GCF_000641475.1	Staphylococcus aureus VET0116R	Homo sapiens	missing				2832	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404027	VET0116R			Scaffold	7	135022		33	86	48	47	98.68	0.39	v1.2.3	PRJNA228535	
GCA_000641475.1	Staphylococcus aureus VET0116R	Homo sapiens	missing				2690		allpaths v. R48559	SAMN02404027	VET0116R			Scaffold	7	135022		33	86	48	47	98.68	0.39	v1.2.3	PRJNA228535	
GCF_000641495.1	Staphylococcus aureus VET0117R	Homo sapiens	missing				2837	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404028	VET0117R			Scaffold	6	137848		33	86	43	39	98.6	0.42	v1.2.3	PRJNA228536	
GCA_000641495.1	Staphylococcus aureus VET0117R	Homo sapiens	missing				2713		allpaths v. R48559	SAMN02404028	VET0117R			Scaffold	6	137848		33	86	43	39	98.6	0.42	v1.2.3	PRJNA228536	
GCF_000641515.1	Staphylococcus aureus VET0119R	Homo sapiens	missing				2759	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404029	VET0119R			Scaffold	4	214791		33	85	31	29	98.5	0.39	v1.2.3	PRJNA228537	
GCA_000641515.1	Staphylococcus aureus VET0119R	Homo sapiens	missing				2631		allpaths v. R48559	SAMN02404029	VET0119R			Scaffold	4	214791		33	85	31	29	98.5	0.39	v1.2.3	PRJNA228537	
GCF_000641535.1	Staphylococcus aureus VET0123R	Homo sapiens	missing				2803	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404031	VET0123R			Scaffold	4	185046		33	90	42	40	98.69	1.27	v1.2.3	PRJNA228539	
GCA_000641535.1	Staphylococcus aureus VET0123R	Homo sapiens	missing				2666		allpaths v. R48559	SAMN02404031	VET0123R			Scaffold	4	185046		33	90	42	40	98.69	1.27	v1.2.3	PRJNA228539	
GCF_000641555.1	Staphylococcus aureus VET0124R	Homo sapiens	missing				2789	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404032	VET0124R			Scaffold	5	185045		33	88	43	41	98.69	1.27	v1.2.3	PRJNA228540	
GCA_000641555.1	Staphylococcus aureus VET0124R	Homo sapiens	missing				2657		allpaths v. R48559	SAMN02404032	VET0124R			Scaffold	5	185045		33	88	43	41	98.69	1.27	v1.2.3	PRJNA228540	
GCF_000641575.1	Staphylococcus aureus VET0126R	Homo sapiens	missing				2778	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404034	VET0126R			Scaffold	6	137849		33	99	51	49	97.8	0.43	v1.2.3	PRJNA228542	
GCA_000641575.1	Staphylococcus aureus VET0126R	Homo sapiens	missing				2650		allpaths v. R48559	SAMN02404034	VET0126R			Scaffold	6	137849		33	99	51	49	97.8	0.43	v1.2.3	PRJNA228542	
GCF_000641595.1	Staphylococcus aureus VET0127R	Homo sapiens	missing				2785	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404035	VET0127R			Scaffold	4	201515		33	87	40	38	98.69	0.39	v1.2.3	PRJNA228543	
GCA_000641595.1	Staphylococcus aureus VET0127R	Homo sapiens	missing				2644		allpaths v. R48559	SAMN02404035	VET0127R			Scaffold	4	201515		33	87	40	38	98.69	0.39	v1.2.3	PRJNA228543	
GCF_000641615.1	Staphylococcus aureus VET0128R	Homo sapiens	missing				2813	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404036	VET0128R			Scaffold	5	173256		33	85	50	47	98.5	0.46	v1.2.3	PRJNA228544	
GCA_000641615.1	Staphylococcus aureus VET0128R	Homo sapiens	missing				2683		allpaths v. R48559	SAMN02404036	VET0128R			Scaffold	5	173256		33	85	50	47	98.5	0.46	v1.2.3	PRJNA228544	
GCF_000641635.1	Staphylococcus aureus VET0129R	Homo sapiens	missing				2903	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404037	VET0129R			Scaffold	4	361439		33	104	22	19	98.66	0.43	v1.2.3	PRJNA228545	
GCA_000641635.1	Staphylococcus aureus VET0129R	Homo sapiens	missing				2770		allpaths v. R48559	SAMN02404037	VET0129R			Scaffold	4	361439		33	104	22	19	98.66	0.43	v1.2.3	PRJNA228545	
GCF_000641655.1	Staphylococcus aureus VET0130R	Homo sapiens	missing				2801	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404038	VET0130R			Scaffold	4	212570		33	87	40	36	98.11	0.43	v1.2.3	PRJNA228546	
GCA_000641655.1	Staphylococcus aureus VET0130R	Homo sapiens	missing				2668		allpaths v. R48559	SAMN02404038	VET0130R			Scaffold	4	212570		33	87	40	36	98.11	0.43	v1.2.3	PRJNA228546	
GCF_000641675.1	Staphylococcus aureus VET0132R	Homo sapiens	missing				2881	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404039	VET0132R			Scaffold	5	137849		33	88	42	40	98.11	0.43	v1.2.3	PRJNA228547	
GCA_000641675.1	Staphylococcus aureus VET0132R	Homo sapiens	missing				2733		allpaths v. R48559	SAMN02404039	VET0132R			Scaffold	5	137849		33	88	42	40	98.11	0.43	v1.2.3	PRJNA228547	
GCF_000641695.1	Staphylococcus aureus VET0133R	Homo sapiens	missing				2886	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404040	VET0133R			Scaffold	7	135700		33	85	63	60	98.46	0.42	v1.2.3	PRJNA228548	
GCA_000641695.1	Staphylococcus aureus VET0133R	Homo sapiens	missing				2758		allpaths v. R48559	SAMN02404040	VET0133R			Scaffold	7	135700		33	85	63	60	98.46	0.42	v1.2.3	PRJNA228548	
GCF_000641715.1	Staphylococcus aureus VET0134R	Homo sapiens	missing				2791	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404041	VET0134R			Scaffold	6	137667		33	87	38	34	98.69	0.42	v1.2.3	PRJNA228549	
GCA_000641715.1	Staphylococcus aureus VET0134R	Homo sapiens	missing				2654		allpaths v. R48559	SAMN02404041	VET0134R			Scaffold	6	137667		33	87	38	34	98.69	0.42	v1.2.3	PRJNA228549	
GCF_000641735.1	Staphylococcus aureus VET0140R	Homo sapiens	missing				2777	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404043	VET0140R			Scaffold	4	260225		33	84	35	34	98.69	0.74	v1.2.3	PRJNA228551	
GCA_000641735.1	Staphylococcus aureus VET0140R	Homo sapiens	missing				2655		allpaths v. R48559	SAMN02404043	VET0140R			Scaffold	4	260225		33	84	35	34	98.69	0.74	v1.2.3	PRJNA228551	
GCF_000641755.1	Staphylococcus aureus VET0148R	Homo sapiens	missing				2765	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404045	VET0148R			Scaffold	3	398452		33	66	26	24	98.69	0.39	v1.2.3	PRJNA228553	
GCA_000641755.1	Staphylococcus aureus VET0148R	Homo sapiens	missing				2626		allpaths v. R48559	SAMN02404045	VET0148R			Scaffold	3	398452		33	66	26	24	98.69	0.39	v1.2.3	PRJNA228553	
GCF_000641775.1	Staphylococcus aureus VET0151R	Homo sapiens	missing				2757	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404047	VET0151R			Scaffold	4	201458		33	84	34	33	98.46	0.39	v1.2.3	PRJNA228555	
GCA_000641775.1	Staphylococcus aureus VET0151R	Homo sapiens	missing				2624		allpaths v. R48559	SAMN02404047	VET0151R			Scaffold	4	201458		33	84	34	33	98.46	0.39	v1.2.3	PRJNA228555	
GCF_000641795.1	Staphylococcus aureus VET0152R	Homo sapiens	missing				2846	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404048	VET0152R			Scaffold	6	164834		33	88	58	56	98.68	0.52	v1.2.3	PRJNA228556	
GCA_000641795.1	Staphylococcus aureus VET0152R	Homo sapiens	missing				2702		allpaths v. R48559	SAMN02404048	VET0152R			Scaffold	6	164834		33	88	58	56	98.68	0.52	v1.2.3	PRJNA228556	
GCF_000641815.1	Staphylococcus aureus VET0155R	Homo sapiens	missing				2838	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404050	VET0155R			Scaffold	9	95313		33	88	57	55	98.09	0.39	v1.2.3	PRJNA228558	
GCA_000641815.1	Staphylococcus aureus VET0155R	Homo sapiens	missing				2699		allpaths v. R48559	SAMN02404050	VET0155R			Scaffold	9	95313		33	88	57	55	98.09	0.39	v1.2.3	PRJNA228558	
GCF_000641835.1	Staphylococcus aureus VET0156R	Homo sapiens	missing				2857	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404051	VET0156R			Scaffold	7	125434		33	84	45	43	98.31	0.49	v1.2.3	PRJNA228559	
GCA_000641835.1	Staphylococcus aureus VET0156R	Homo sapiens	missing				2725		allpaths v. R48559	SAMN02404051	VET0156R			Scaffold	7	125434		33	84	45	43	98.31	0.49	v1.2.3	PRJNA228559	
GCF_000641855.1	Staphylococcus aureus VET0161R	Homo sapiens	missing				2856	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404055	VET0161R			Scaffold	5	214913		33	82	34	30	98.52	0.48	v1.2.3	PRJNA228563	
GCA_000641855.1	Staphylococcus aureus VET0161R	Homo sapiens	missing				2718		allpaths v. R48559	SAMN02404055	VET0161R			Scaffold	5	214913		33	82	34	30	98.52	0.48	v1.2.3	PRJNA228563	
GCF_000641875.1	Staphylococcus aureus VET0162R	Homo sapiens	missing				2784	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404056	VET0162R			Scaffold	6	137574		33	87	35	32	98.46	0.39	v1.2.3	PRJNA228564	
GCA_000641875.1	Staphylococcus aureus VET0162R	Homo sapiens	missing				2649		allpaths v. R48559	SAMN02404056	VET0162R			Scaffold	6	137574		33	87	35	32	98.46	0.39	v1.2.3	PRJNA228564	
GCF_000641895.1	Staphylococcus aureus VET0164R	Homo sapiens	missing				2769	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404057	VET0164R			Scaffold	6	136854		33	86	47	43	98.68	0.39	v1.2.3	PRJNA228565	
GCA_000641895.1	Staphylococcus aureus VET0164R	Homo sapiens	missing				2630		allpaths v. R48559	SAMN02404057	VET0164R			Scaffold	6	136854		33	86	47	43	98.68	0.39	v1.2.3	PRJNA228565	
GCF_000641915.1	Staphylococcus aureus VET0165R	Homo sapiens	missing				2827	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404058	VET0165R			Scaffold	7	137434		33	84	61	59	98.46	0.39	v1.2.3	PRJNA228566	
GCA_000641915.1	Staphylococcus aureus VET0165R	Homo sapiens	missing				2691		allpaths v. R48559	SAMN02404058	VET0165R			Scaffold	7	137434		33	84	61	59	98.46	0.39	v1.2.3	PRJNA228566	
GCF_000641935.1	Staphylococcus aureus VET0166R	Homo sapiens	missing				2801	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404059	VET0166R			Scaffold	7	137697		33	108	62	61	98.68	0.51	v1.2.3	PRJNA228567	
GCA_000641935.1	Staphylococcus aureus VET0166R	Homo sapiens	missing				2670		allpaths v. R48559	SAMN02404059	VET0166R			Scaffold	7	137697		33	108	62	61	98.68	0.51	v1.2.3	PRJNA228567	
GCF_000641955.1	Staphylococcus aureus VET0167R	Homo sapiens	missing				2758	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404060	VET0167R			Scaffold	7	137848		33	97	48	47	98.68	0.39	v1.2.3	PRJNA228568	
GCA_000641955.1	Staphylococcus aureus VET0167R	Homo sapiens	missing				2618		allpaths v. R48559	SAMN02404060	VET0167R			Scaffold	7	137848		33	97	48	47	98.68	0.39	v1.2.3	PRJNA228568	
GCF_000641975.1	Staphylococcus aureus VET0171R	Homo sapiens	missing				2826	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404061	VET0171R			Scaffold	5	215666		33	90	41	37	98.5	1.32	v1.2.3	PRJNA228569	
GCA_000641975.1	Staphylococcus aureus VET0171R	Homo sapiens	missing				2684		allpaths v. R48559	SAMN02404061	VET0171R			Scaffold	5	215666		33	90	41	37	98.5	1.32	v1.2.3	PRJNA228569	
GCF_000641995.1	Staphylococcus aureus VET0176R	Homo sapiens	missing				2776	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404062	VET0176R			Scaffold	8	136903		33	90	40	37	98.46	0.39	v1.2.3	PRJNA228570	
GCA_000641995.1	Staphylococcus aureus VET0176R	Homo sapiens	missing				2641		allpaths v. R48559	SAMN02404062	VET0176R			Scaffold	8	136903		33	90	40	37	98.46	0.39	v1.2.3	PRJNA228570	
GCF_000642015.1	Staphylococcus aureus VET0177R	Homo sapiens	missing				2769	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404063	VET0177R			Scaffold	3	270811		33	87	33	31	98.69	0.39	v1.2.3	PRJNA228571	
GCA_000642015.1	Staphylococcus aureus VET0177R	Homo sapiens	missing				2641		allpaths v. R48559	SAMN02404063	VET0177R			Scaffold	3	270811		33	87	33	31	98.69	0.39	v1.2.3	PRJNA228571	
GCF_000642035.1	Staphylococcus aureus VET0178R	Homo sapiens	missing				2793	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404064	VET0178R			Scaffold	4	153947		33	88	41	40	98.69	0.39	v1.2.3	PRJNA228572	
GCA_000642035.1	Staphylococcus aureus VET0178R	Homo sapiens	missing				2667		allpaths v. R48559	SAMN02404064	VET0178R			Scaffold	4	153947		33	88	41	40	98.69	0.39	v1.2.3	PRJNA228572	
GCF_000642055.1	Staphylococcus aureus VET0179R	Homo sapiens	missing				2820	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404065	VET0179R			Scaffold	5	138302		33	88	47	46	98.69	0.39	v1.2.3	PRJNA228573	
GCA_000642055.1	Staphylococcus aureus VET0179R	Homo sapiens	missing				2686		allpaths v. R48559	SAMN02404065	VET0179R			Scaffold	5	138302		33	88	47	46	98.69	0.39	v1.2.3	PRJNA228573	
GCF_000642075.1	Staphylococcus aureus VET0180R	Homo sapiens	missing				2810	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404066	VET0180R			Scaffold	3	414259		33	86	34	33	98.69	0.39	v1.2.3	PRJNA228574	
GCA_000642075.1	Staphylococcus aureus VET0180R	Homo sapiens	missing				2675		allpaths v. R48559	SAMN02404066	VET0180R			Scaffold	3	414259		33	86	34	33	98.69	0.39	v1.2.3	PRJNA228574	
GCF_000642095.1	Staphylococcus aureus VET0188R	Homo sapiens	missing				2819	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404071	VET0188R			Scaffold	5	177487		33	90	45	39	98.68	0.54	v1.2.3	PRJNA228579	
GCA_000642095.1	Staphylococcus aureus VET0188R	Homo sapiens	missing				2684		allpaths v. R48559	SAMN02404071	VET0188R			Scaffold	5	177487		33	90	45	39	98.68	0.54	v1.2.3	PRJNA228579	
GCF_000642115.1	Staphylococcus aureus VET0189R	Homo sapiens	missing				2817	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404072	VET0189R			Scaffold	7	138226		33	90	43	40	98.63	0.58	v1.2.3	PRJNA228580	
GCA_000642115.1	Staphylococcus aureus VET0189R	Homo sapiens	missing				2681		allpaths v. R48559	SAMN02404072	VET0189R			Scaffold	7	138226		33	90	43	40	98.63	0.58	v1.2.3	PRJNA228580	
GCF_000642135.1	Staphylococcus aureus VET0190R	Homo sapiens	missing				2887	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404073	VET0190R			Scaffold	6	144167		33	90	58	55	98.61	0.41	v1.2.3	PRJNA228581	
GCA_000642135.1	Staphylococcus aureus VET0190R	Homo sapiens	missing				2751		allpaths v. R48559	SAMN02404073	VET0190R			Scaffold	6	144167		33	90	58	55	98.61	0.41	v1.2.3	PRJNA228581	
GCF_000642155.1	Staphylococcus aureus VET0192R	Homo sapiens	missing				2855	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404075	VET0192R			Scaffold	7	152493		33	97	58	57	98.46	0.42	v1.2.3	PRJNA228583	
GCA_000642155.1	Staphylococcus aureus VET0192R	Homo sapiens	missing				2721		allpaths v. R48559	SAMN02404075	VET0192R			Scaffold	7	152493		33	97	58	57	98.46	0.42	v1.2.3	PRJNA228583	
GCF_000642175.1	Staphylococcus aureus VET0193R	Homo sapiens	missing				2751	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404076	VET0193R			Scaffold	5	185046		33	91	39	35	98.69	0.39	v1.2.3	PRJNA228584	
GCA_000642175.1	Staphylococcus aureus VET0193R	Homo sapiens	missing				2622		allpaths v. R48559	SAMN02404076	VET0193R			Scaffold	5	185046		33	91	39	35	98.69	0.39	v1.2.3	PRJNA228584	
GCF_000642195.1	Staphylococcus aureus VET0194R	Homo sapiens	missing				2791	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404077	VET0194R			Scaffold	8	135805		33	123	53	52	97.75	0.39	v1.2.3	PRJNA228585	
GCA_000642195.1	Staphylococcus aureus VET0194R	Homo sapiens	missing				2654		allpaths v. R48559	SAMN02404077	VET0194R			Scaffold	8	135805		33	123	53	52	97.75	0.39	v1.2.3	PRJNA228585	
GCF_000642215.1	Staphylococcus aureus VET0195R	Homo sapiens	missing				2773	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404078	VET0195R			Scaffold	6	135886		33	92	41	39	98.71	0.42	v1.2.3	PRJNA228586	
GCA_000642215.1	Staphylococcus aureus VET0195R	Homo sapiens	missing				2641		allpaths v. R48559	SAMN02404078	VET0195R			Scaffold	6	135886		33	92	41	39	98.71	0.42	v1.2.3	PRJNA228586	
GCF_000642235.1	Staphylococcus aureus VET0198R	Homo sapiens	missing				2822	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404081	VET0198R			Scaffold	7	135022		33	93	46	45	98.59	0.39	v1.2.3	PRJNA228589	
GCA_000642235.1	Staphylococcus aureus VET0198R	Homo sapiens	missing				2682		allpaths v. R48559	SAMN02404081	VET0198R			Scaffold	7	135022		33	93	46	45	98.59	0.39	v1.2.3	PRJNA228589	
GCF_000642255.1	Staphylococcus aureus VET0200R	Homo sapiens	missing				2784	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404083	VET0200R			Scaffold	5	144334		33	90	44	42	98.46	0.39	v1.2.3	PRJNA228591	
GCA_000642255.1	Staphylococcus aureus VET0200R	Homo sapiens	missing				2655		allpaths v. R48559	SAMN02404083	VET0200R			Scaffold	5	144334		33	90	44	42	98.46	0.39	v1.2.3	PRJNA228591	
GCF_000642275.1	Staphylococcus aureus VET0212R	Homo sapiens	missing				2847	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404091	VET0212R			Scaffold	7	137382		33	86	42	40	98.46	0.42	v1.2.3	PRJNA228599	
GCA_000642275.1	Staphylococcus aureus VET0212R	Homo sapiens	missing				2709		allpaths v. R48559	SAMN02404091	VET0212R			Scaffold	7	137382		33	86	42	40	98.46	0.42	v1.2.3	PRJNA228599	
GCF_000642295.1	Staphylococcus aureus VET0213R	Homo sapiens	missing				2857	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404092	VET0213R			Scaffold	4	215111		33	93	37	35	98.11	0.43	v1.2.3	PRJNA228600	
GCA_000642295.1	Staphylococcus aureus VET0213R	Homo sapiens	missing				2726		allpaths v. R48559	SAMN02404092	VET0213R			Scaffold	4	215111		33	93	37	35	98.11	0.43	v1.2.3	PRJNA228600	
GCF_000642315.1	Staphylococcus aureus VET0214R	Homo sapiens	missing				2883	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404093	VET0214R			Scaffold	7	137310		33	91	50	47	98.46	0.42	v1.2.3	PRJNA228601	
GCA_000642315.1	Staphylococcus aureus VET0214R	Homo sapiens	missing				2755		allpaths v. R48559	SAMN02404093	VET0214R			Scaffold	7	137310		33	91	50	47	98.46	0.42	v1.2.3	PRJNA228601	
GCF_000642335.1	Staphylococcus aureus VET0215R	Homo sapiens	missing				2848	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404094	VET0215R			Scaffold	8	136633		33	92	50	48	98.68	0.43	v1.2.3	PRJNA228602	
GCA_000642335.1	Staphylococcus aureus VET0215R	Homo sapiens	missing				2697		allpaths v. R48559	SAMN02404094	VET0215R			Scaffold	8	136633		33	92	50	48	98.68	0.43	v1.2.3	PRJNA228602	
GCF_000642355.1	Staphylococcus aureus VET0216R	Homo sapiens	missing				2848	Best-placed reference protein set; GeneMarkS-2+	allpaths v. R48559	SAMN02404095	VET0216R			Scaffold	9	106133		33	99	64	63	98.05	0.54	v1.2.3	PRJNA228603	
